"Stock","Year","Length","CatchNo"
"Ille_coi_AD",1994,75,0.31
"Ille_coi_AD",1994,95,0.58
"Ille_coi_AD",1994,100,1.75
"Ille_coi_AD",1994,105,0.58
"Ille_coi_AD",1994,110,0.27
"Ille_coi_AD",1994,115,0.58
"Ille_coi_AD",1994,120,1.36
"Ille_coi_AD",1994,125,0.27
"Ille_coi_AD",1994,130,1.75
"Ille_coi_AD",1994,135,0.76
"Ille_coi_AD",1994,140,1
"Ille_coi_AD",1994,145,1.59
"Ille_coi_AD",1994,150,1
"Ille_coi_AD",1994,155,0.42
"Ille_coi_AD",1994,160,1.21
"Ille_coi_AD",1994,165,0.73
"Ille_coi_AD",1994,170,0.58
"Ille_coi_AD",1994,175,0.96
"Ille_coi_AD",1994,180,1
"Ille_coi_AD",1994,190,1.36
"Ille_coi_AD",1994,200,0.27
"Ille_coi_AD",1994,210,0.46
"Ille_coi_AD",1994,220,0.15
"Ille_coi_AD",1994,230,0.18
"Ille_coi_AD",1995,70,0.55
"Ille_coi_AD",1995,75,0.27
"Ille_coi_AD",1995,80,1.09
"Ille_coi_AD",1995,85,0.82
"Ille_coi_AD",1995,90,0.82
"Ille_coi_AD",1995,95,1.09
"Ille_coi_AD",1995,100,0.59
"Ille_coi_AD",1995,105,1.21
"Ille_coi_AD",1995,110,0.95
"Ille_coi_AD",1995,115,0.71
"Ille_coi_AD",1995,120,0.27
"Ille_coi_AD",1995,125,0.82
"Ille_coi_AD",1995,130,2.16
"Ille_coi_AD",1995,135,1.72
"Ille_coi_AD",1995,140,1.7
"Ille_coi_AD",1995,145,2.77
"Ille_coi_AD",1995,150,6.8
"Ille_coi_AD",1995,155,4.45
"Ille_coi_AD",1995,160,3.43
"Ille_coi_AD",1995,165,2.48
"Ille_coi_AD",1995,170,3.11
"Ille_coi_AD",1995,175,2.48
"Ille_coi_AD",1995,180,3.73
"Ille_coi_AD",1995,185,3.17
"Ille_coi_AD",1995,190,3.15
"Ille_coi_AD",1995,195,1.79
"Ille_coi_AD",1995,200,2.06
"Ille_coi_AD",1995,205,1.53
"Ille_coi_AD",1995,210,1.43
"Ille_coi_AD",1995,215,0.13
"Ille_coi_AD",1995,220,0.26
"Ille_coi_AD",1995,240,0.13
"Ille_coi_AD",1996,30,0.27
"Ille_coi_AD",1996,40,0.27
"Ille_coi_AD",1996,45,0.15
"Ille_coi_AD",1996,50,0.27
"Ille_coi_AD",1996,70,0.81
"Ille_coi_AD",1996,75,0.42
"Ille_coi_AD",1996,80,1.32
"Ille_coi_AD",1996,85,1.28
"Ille_coi_AD",1996,90,0.96
"Ille_coi_AD",1996,95,0.54
"Ille_coi_AD",1996,100,0.81
"Ille_coi_AD",1996,105,1.65
"Ille_coi_AD",1996,110,2.42
"Ille_coi_AD",1996,115,4.32
"Ille_coi_AD",1996,120,2.26
"Ille_coi_AD",1996,125,3.55
"Ille_coi_AD",1996,130,6.39
"Ille_coi_AD",1996,135,6.79
"Ille_coi_AD",1996,140,10.44
"Ille_coi_AD",1996,145,4.95
"Ille_coi_AD",1996,150,5.04
"Ille_coi_AD",1996,155,4.79
"Ille_coi_AD",1996,160,5.03
"Ille_coi_AD",1996,165,4.98
"Ille_coi_AD",1996,170,3.76
"Ille_coi_AD",1996,175,2.37
"Ille_coi_AD",1996,180,3.12
"Ille_coi_AD",1996,185,3.23
"Ille_coi_AD",1996,190,1.97
"Ille_coi_AD",1996,195,1.38
"Ille_coi_AD",1996,200,1.11
"Ille_coi_AD",1996,205,0.27
"Ille_coi_AD",1996,210,0.32
"Ille_coi_AD",1996,225,0.15
"Ille_coi_AD",1996,235,0.27
"Ille_coi_AD",1997,30,0.25
"Ille_coi_AD",1997,40,0.94
"Ille_coi_AD",1997,45,1.35
"Ille_coi_AD",1997,50,1.51
"Ille_coi_AD",1997,55,4.87
"Ille_coi_AD",1997,60,1.76
"Ille_coi_AD",1997,65,1
"Ille_coi_AD",1997,70,0.5
"Ille_coi_AD",1997,75,0.75
"Ille_coi_AD",1997,80,0.5
"Ille_coi_AD",1997,85,0.75
"Ille_coi_AD",1997,90,1
"Ille_coi_AD",1997,95,0.35
"Ille_coi_AD",1997,100,0.25
"Ille_coi_AD",1997,105,0.35
"Ille_coi_AD",1997,110,0.35
"Ille_coi_AD",1997,115,0.75
"Ille_coi_AD",1997,120,1.1
"Ille_coi_AD",1997,125,1.04
"Ille_coi_AD",1997,130,1.81
"Ille_coi_AD",1997,135,1.29
"Ille_coi_AD",1997,140,2.75
"Ille_coi_AD",1997,145,4.52
"Ille_coi_AD",1997,150,3.66
"Ille_coi_AD",1997,155,1.56
"Ille_coi_AD",1997,160,1.21
"Ille_coi_AD",1997,165,1.65
"Ille_coi_AD",1997,170,2.66
"Ille_coi_AD",1997,175,1.45
"Ille_coi_AD",1997,180,1.56
"Ille_coi_AD",1997,185,1.2
"Ille_coi_AD",1997,190,1.75
"Ille_coi_AD",1997,195,0.65
"Ille_coi_AD",1997,200,0.96
"Ille_coi_AD",1997,205,0.15
"Ille_coi_AD",1997,210,0.85
"Ille_coi_AD",1997,215,0.15
"Ille_coi_AD",1998,30,0.22
"Ille_coi_AD",1998,35,0.22
"Ille_coi_AD",1998,40,0.67
"Ille_coi_AD",1998,45,1.8
"Ille_coi_AD",1998,50,1.45
"Ille_coi_AD",1998,55,1.65
"Ille_coi_AD",1998,60,0.65
"Ille_coi_AD",1998,65,2.02
"Ille_coi_AD",1998,70,1.88
"Ille_coi_AD",1998,75,1.12
"Ille_coi_AD",1998,80,1.39
"Ille_coi_AD",1998,85,0.22
"Ille_coi_AD",1998,95,0.53
"Ille_coi_AD",1998,100,0.45
"Ille_coi_AD",1998,105,0.53
"Ille_coi_AD",1998,110,0.84
"Ille_coi_AD",1998,115,0.84
"Ille_coi_AD",1998,120,1.76
"Ille_coi_AD",1998,125,2.11
"Ille_coi_AD",1998,130,0.92
"Ille_coi_AD",1998,135,3.17
"Ille_coi_AD",1998,140,3.19
"Ille_coi_AD",1998,145,0.82
"Ille_coi_AD",1998,150,1.6
"Ille_coi_AD",1998,155,2.31
"Ille_coi_AD",1998,160,1.43
"Ille_coi_AD",1998,165,1.25
"Ille_coi_AD",1998,170,1.8
"Ille_coi_AD",1998,175,1.99
"Ille_coi_AD",1998,180,1.58
